#biochimica et biophysica acta 818(1985) 410-415
#1 equl conc #2 bound [mmol/mol] #3 OP #4 syst con
0 0 5.8 0 
4.39 9.3 5.47 5
9.00 15.0 5.08 10
18.3 26.1 4.49 20
46.9 53.0 3.61 50.4
99.6 65.0 3.01 103.9
300 96.4 1.7 306.3
500 100 1.56 506.7
