# data from biochemistry 1984, 23, 3913-3920
#1 equil concentration
#2 quadruploral splitting
#3 bound molecules
0 6.1 0
0.005 5.76 0.017
0.01 5.52 0.028
0.02 5.32 0.038
0.05 5.03 0.052
0.1 4.54 0.076
0.2 4.00 0.103
0.4 3.13 0.145
0.5 2.73 0.165
0.6 2.39 0.18
0.8 1.95 0.202
1.0 1.32 0.234
2 0    0.298
3 -2   0.396
4 -3.32 0.46
5 -3.86  0.486
