#data from seelig BBA 818, 1985, 410-415
#1 equil conc
#2 bound TPP
#3 quadrupolar splitting
0 0 5.8
4.39 9.3 5.47
9.00 15.0 5.08
18.3 26.1 4.49
46.9 53.0 3.61
99.6 65.0 3.01
300 96.4 1.7
500 100 1.56
