# Created by R.Nencini on: 2022-03-24 
 
#1 System 
#2 Real system conc. = eti/waters * 55.5  
#3-#10 alpha1, alp1 err - beta2, beta2 err 
#11 repeat distance 
 
etidocaine_POPC_CHARMM_298K_Cl_countra_140mM_5200waters_paramchem 139.1 0.0204 0.0013 0.0225 0.0011 -0.0917 0.0010 -0.0898 0.0011  6.2 
etidocaine_POPC_CHARMM_298K_Cl_countra_140mM_20000waters_paramchem 138.8 -0.0097 0.0009 -0.0039 0.0009 -0.1154 0.0007 -0.1130 0.0008  12.1 
etidocaine_POPC_CHARMM_298K_Cl_countra_140mM_177600waters_paramchem_simulation2_run2022 138.8 -0.0195 0.0012 -0.0098 0.0012 -0.1228 0.0008 -0.1206 0.0008  77.9 
